,cat_id,cat_name,cat_title,cat_description,cat_num_tokens,cat_market_cap,coin_id,coin_name,coin_sym,date_added,platform_name,token_address,is_active
33,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9873,Deez Nuts,DEEZNUTS,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x741f72bc9e29f662f2eb41c5ab450a2ca33be57d,1
34,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10546,FAIRLIFE,FAIRLIFE,2021-06-21T00:00:00.000Z,BNB Smart Chain (BEP20),0x8a646ec31ee33b12ff47e6c7daaf4bc4df9ae54a,0
35,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16603,Harambe Protocol,RIPH,2021-12-29T07:51:09.000Z,BNB Smart Chain (BEP20),0x10964C2ffDEA1e99B5e26D102516d9b03368915f,1
36,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9877,UPDOG,UPDOG,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x400613f184D1207f5C07a67D67040A4e23E92feB,0
37,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10549,Bauble,BAB,2021-06-21T00:00:00.000Z,BNB Smart Chain (BEP20),0x52550da18bd04d8fa4583c2d26492012aeb1d05d,0
38,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8846,Fatfi Protocol,FAT,2021-03-17T00:00:00.000Z,None,None,0
39,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16642,Fragments of arker,FOA,2021-12-29T19:00:53.000Z,BNB Smart Chain (BEP20),0xAe7300B51A8cd43D5B74be0DD5047715B7017E3e,1
40,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16655,GreenAir,GREEN,2021-12-29T23:34:27.000Z,BNB Smart Chain (BEP20),0xafcd56e0d0ad1a769db98f14d4149a78f52ce620,1
41,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10552,DUKE INU TOKEN,DUKE,2021-06-21T00:00:00.000Z,BNB Smart Chain (BEP20),0xaee234825dc4687fae606485c1ebd06336052bcc,1
42,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9878,PathFund,PATH,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x9974F4E6FF49ac39469928E5d7cCa3E8649ae6b8,0
